
Gurobi 9.5.2 (mac64[arm]) logging started Sun Apr 30 16:14:57 2023

Set parameter LogFile to value "Java/output/special_mip/scenario_seed_0_nJob_40_machineCount_1/mip_increment_5/log.txt"
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (mac64[arm])
Thread count: 8 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 718 rows, 10406 columns and 45325 nonzeros
Model fingerprint: 0x805af7f8
Variable types: 0 continuous, 10406 integer (10406 binary)
Coefficient statistics:
  Matrix range     [1e+00, 4e+02]
  Objective range  [1e+00, 9e+06]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 3.215979e+07
Presolve added 9 rows and 0 columns
Presolve removed 0 rows and 722 columns
Presolve time: 0.05s
Presolved: 727 rows, 9684 columns, 40320 nonzeros
Variable types: 0 continuous, 9684 integer (9660 binary)
Found heuristic solution: objective 2.925997e+07

Root relaxation: objective 2.329239e+04, 4567 iterations, 0.16 seconds (0.30 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  1813  1419 23983.6379   28  608 24691.0000 23675.3580  4.11%  1447  105s
  1899  1459 24230.5126   34  594 24691.0000 23675.3580  4.11%  1475  111s
H 1907  1393                    24646.000000 23675.3580  3.94%  1476  111s
  1988  1432 24388.9743   42  575 24646.0000 23675.3580  3.94%  1523  116s
  2028  1444 24432.5653   46  535 24646.0000 23675.3580  3.94%  1539  120s
  2139  1494 23770.0917   17  687 24646.0000 23675.3580  3.94%  1566  125s
  2258  1560 24310.5337   29  586 24646.0000 23675.3580  3.94%  1590  130s
  2357  1586 24300.0153   32  551 24646.0000 23675.3580  3.94%  1601  135s
  2465  1648     cutoff   41      24646.0000 23686.5289  3.89%  1624  142s
  2517  1673 24185.5633   16  589 24646.0000 23686.5289  3.89%  1637  145s
  2651  1689 23904.4856   16  676 24646.0000 23700.4214  3.84%  1645  150s
  2749  1714 24199.8101   25  559 24646.0000 23700.4214  3.84%  1672  156s
  2900  1745 24012.2477   17  655 24646.0000 23714.7510  3.78%  1691  161s
  2956  1790 24198.2269   24  586 24646.0000 23714.7510  3.78%  1707  165s
  3133  1799 23956.1164   18  652 24646.0000 23749.8173  3.64%  1707  172s
  3195  1837 24139.0938   25  595 24646.0000 23750.9199  3.63%  1720  177s
  3283  1878 24047.5038   19  723 24646.0000 23752.3128  3.63%  1731  182s
  3406  1885 24184.5957   23  677 24646.0000 23752.3128  3.63%  1720  186s
  3484  1912 24368.1477   26  643 24646.0000 23754.4882  3.62%  1729  190s
  3664  1959 24232.3341   19  609 24646.0000 23762.1240  3.59%  1749  198s
  3764  1992 infeasible   30      24646.0000 23774.3779  3.54%  1756  202s
  3890  1998 24018.2642   20  634 24646.0000 23774.3779  3.54%  1758  207s
  3991  2005 24461.3782   32  564 24646.0000 23781.5796  3.51%  1764  212s
  4064  2035 24493.2113   20  618 24646.0000 23782.3492  3.50%  1770  216s
  4171  2074 23986.9213   18  670 24646.0000 23782.3492  3.50%  1782  221s
  4260  2091 24152.4710   19  643 24646.0000 23782.3492  3.50%  1804  227s
  4347  2127 24518.6096   22  596 24646.0000 23782.3492  3.50%  1817  232s
  4489  2158 24484.1890   28  502 24646.0000 23782.3492  3.50%  1825  237s
  4639  2143 24613.5211   41  462 24646.0000 23792.6620  3.46%  1827  259s
  4764  2202 24169.6805   28  598 24646.0000 23792.6620  3.46%  1839  265s
  4936  2215 24171.3118   38  692 24646.0000 23792.6620  3.46%  1844  272s
  5111  2255 24623.4934   47  474 24646.0000 23796.1965  3.45%  1830  278s
  5299  2334 24300.4060   33  531 24646.0000 23802.8203  3.42%  1833  285s
  5517  2403 24576.4287   21  633 24646.0000 23804.9682  3.41%  1830  292s
  5688  2520 24073.5998   35  594 24646.0000 23810.1537  3.39%  1840  300s
  5870  2578 24287.7933   21  621 24646.0000 23810.1537  3.39%  1839  308s
  6000  2669 24609.3516   28  572 24646.0000 23815.1096  3.37%  1856  315s
  6137  2745 24513.7279   29  518 24646.0000 23818.8800  3.36%  1876  323s
  6300  2838 24294.4005   25  629 24646.0000 23819.7730  3.35%  1884  333s
  6488  2953 24274.7388   22  683 24646.0000 23820.5706  3.35%  1895  342s
  6668  3129 24390.8466   29  655 24646.0000 23822.5754  3.34%  1910  351s
  6950  3264     cutoff   36      24646.0000 23823.5338  3.34%  1905  360s
  7178  3421 24270.6053   28  602 24646.0000 23827.7819  3.32%  1912  370s
  7437  3510     cutoff   37      24646.0000 23828.9189  3.32%  1917  380s
  7649  3634 24248.9594   28  679 24646.0000 23835.1062  3.29%  1934  390s
  7814  3764 24377.1674   38  599 24646.0000 23835.1062  3.29%  1959  401s
  8012  3896 24511.7572   53  601 24646.0000 23835.4381  3.29%  1977  414s
  8240  4010 24644.0427   37  596 24646.0000 23837.6332  3.28%  1984  426s
  8462  4105 24520.0585   33  603 24646.0000 23841.1690  3.27%  2003  438s
  8680  4208 24106.9085   22  632 24646.0000 23845.6928  3.25%  2023  451s
H 8885  3978                    24556.000000 23849.7819  2.88%  2047  465s
H 9099  3849                    24506.000000 23849.7819  2.68%  2073  478s
H 9320  3174                    24396.000000 23850.2545  2.24%  2056  478s
H 9344  2904                    24356.000000 23850.2545  2.08%  2056  478s
  9521  2835     cutoff   45      24356.0000 23850.3221  2.08%  2062  493s
H 9734  2452                    24306.000000 23853.9920  1.86%  2065  493s
  9831  2522     cutoff   27      24306.0000 23857.0503  1.85%  2072  509s
H 9907  2403                    24291.000000 23857.8629  1.78%  2075  509s
H 9928  2290                    24276.000000 23860.2658  1.71%  2081  509s
