
Gurobi 9.5.2 (mac64[arm]) logging started Wed Apr 19 14:19:28 2023

Set parameter LogFile to value "Java/output/pure_mip/scenario_seed_0_nJob_50_machineCount_1/mip_increment_5/log.txt"
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (mac64[arm])
Thread count: 8 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 790 rows, 13500 columns and 58631 nonzeros
Model fingerprint: 0x50de08f6
Variable types: 0 continuous, 13500 integer (13500 binary)
Coefficient statistics:
  Matrix range     [1e+00, 5e+02]
  Objective range  [1e+00, 2e+07]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 1.460934e+08
Presolve added 20 rows and 0 columns
Presolve removed 0 rows and 760 columns
Presolve time: 0.06s
Presolved: 810 rows, 12740 columns, 52991 nonzeros
Variable types: 0 continuous, 12740 integer (12712 binary)
Found heuristic solution: objective 1.067672e+08

Root relaxation: objective 3.171071e+04, 8532 iterations, 0.41 seconds (0.78 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

H  276   270                    33958.000000 31974.6636  5.84%  1047   37s
H  304   297                    33918.000000 31974.6636  5.73%  1026   38s
H  355   332                    33883.000000 31974.6636  5.63%  1019   39s
   373   353 32211.8190   29  692 33883.0000 31974.6636  5.63%  1009   40s
H  462   405                    33868.000000 31974.6636  5.59%  1010   45s
H  490   439                    33863.000000 31974.6636  5.58%  1021   47s
   583   538 32681.0326   42  617 33863.0000 31974.6636  5.58%  1095   50s
   765   702 33056.2856   56  621 33863.0000 31974.6636  5.58%  1076   56s
   858   814 32721.0882   65  664 33863.0000 31974.6636  5.58%  1062   60s
  1120  1047 32906.2646   84  619 33863.0000 31974.6636  5.58%  1053   65s
  1324  1174 33310.0900   99  578 33863.0000 31974.6636  5.58%  1036   70s
  1461  1238 32746.0981   64  811 33863.0000 31974.6636  5.58%  1059   77s
  1469  1243 32066.2243   24  768 33863.0000 31974.6636  5.58%  1053   80s
  1501  1265 32512.6337   27  931 33863.0000 31996.7706  5.51%  1031   85s
  1532  1285 32129.6572   23  936 33863.0000 32008.9274  5.48%  1010   90s
  1534  1290 32049.0460   15  852 33863.0000 32009.3965  5.47%  1055   98s
  1536  1293 32058.8012   16  907 33863.0000 32018.7377  5.45%  1057  104s
  1540  1300 32227.8151   17  919 33863.0000 32028.3402  5.42%  1073  111s
  1556  1310 32270.1408   18  930 33863.0000 32029.9115  5.41%  1145  116s
  1580  1329 32340.6284   20  904 33863.0000 32069.2518  5.30%  1181  120s
  1602  1342 32504.8697   21  838 33863.0000 32073.4964  5.28%  1225  125s
  1619  1356 32440.1492   22  894 33863.0000 32077.1904  5.27%  1277  130s
  1643  1370 32711.1112   23  879 33863.0000 32077.1904  5.27%  1338  135s
  1672  1382 32737.4815   24  785 33863.0000 32077.1904  5.27%  1408  141s
  1683  1386 32732.3143   25  784 33863.0000 32077.1904  5.27%  1432  145s
  1709  1409 32772.8415   26  760 33863.0000 32077.1904  5.27%  1482  150s
  1743  1430 32791.5846   29  750 33863.0000 32077.1904  5.27%  1553  156s
  1783  1443 32862.1873   31  752 33863.0000 32077.1904  5.27%  1608  162s
  1800  1458 32868.7013   33  749 33863.0000 32077.1904  5.27%  1612  165s
H 1829  1392                    33583.000000 32077.1904  4.48%  1652  168s
  1833  1405 32923.1435   36  733 33583.0000 32077.1904  4.48%  1664  170s
H 1874  1363                    33483.000000 32077.1904  4.20%  1717  176s
H 1876  1304                    33428.000000 32077.1904  4.04%  1721  176s
H 1883  1245                    33343.000000 32077.1904  3.80%  1730  176s
  1889  1258 32992.6539   41  704 33343.0000 32077.1904  3.80%  1740  180s
  1941  1280 infeasible   45      33343.0000 32077.1904  3.80%  1830  187s
  1968  1288 33285.9488   49  682 33343.0000 32077.1904  3.80%  1872  191s
  1990  1298     cutoff   51      33343.0000 32077.1904  3.80%  1911  195s
  2036  1320 32169.1217   21  951 33343.0000 32077.1904  3.80%  2001  202s
  2061  1342 32130.2017   22  935 33343.0000 32077.1904  3.80%  2059  206s
  2091  1350 32202.5122   23  899 33343.0000 32077.1904  3.80%  2098  211s
  2127  1371 32619.5031   24  858 33343.0000 32077.1904  3.80%  2139  215s
  2166  1394 32742.9564   25  811 33343.0000 32077.1904  3.80%  2176  221s
  2204  1421 32832.0643   26  822 33343.0000 32077.1904  3.80%  2228  225s
  2248  1450 32966.8014   29  806 33343.0000 32077.1904  3.80%  2267  231s
  2298  1460 33192.7373   30  722 33343.0000 32077.1904  3.80%  2319  236s
H 2309  1387                    33188.000000 32077.1904  3.35%  2327  236s
  2335  1401     cutoff   32      33188.0000 32077.1904  3.35%  2345  240s
  2384  1409     cutoff   33      33188.0000 32077.1904  3.35%  2394  246s
  2427  1414 33170.4252   34  737 33188.0000 32078.7097  3.34%  2453  251s
  2466  1426 32876.1571   22  810 33188.0000 32078.7097  3.34%  2513  256s
H 2470  1356                    33108.000000 32078.7097  3.11%  2519  256s
  2519  1354     cutoff   25      33108.0000 32084.4079  3.09%  2557  262s
  2554  1369 32273.1521   22  893 33108.0000 32084.4079  3.09%  2614  268s
H 2564  1246                    33008.000000 32084.4079  2.80%  2618  268s
  2599  1259 32379.1934   22  928 33008.0000 32084.4079  2.80%  2651  275s
  2662  1269 32464.0511   25  890 33008.0000 32084.4079  2.80%  2660  281s
  2709  1294 32634.4474   26  882 33008.0000 32084.4079  2.80%  2712  287s
  2762  1302 32667.4778   27  862 33008.0000 32084.4079  2.80%  2765  294s
  2831  1315 32823.1236   31  825 33008.0000 32084.4079  2.80%  2813  301s
  2886  1330 32948.9218   38  813 33008.0000 32084.4079  2.80%  2858  309s
  2941  1358 32960.9692   39  796 33008.0000 32098.4710  2.76%  2914  316s
  3007  1371 32264.1819   25  877 33008.0000 32098.4710  2.76%  2956  323s
  3092  1390 32733.1126   33  737 33008.0000 32098.4710  2.76%  3019  331s
  3171  1424 32818.8431   35  771 33008.0000 32104.2474  2.74%  3086  340s
  3263  1456 32339.9832   27  932 33008.0000 32104.2474  2.74%  3148  348s
  3362  1483     cutoff   36      33008.0000 32121.2328  2.69%  3196  358s
  3463  1516 32154.9709   25  946 33008.0000 32129.6300  2.66%  3233  368s
  3561  1547 32320.9669   28  896 33008.0000 32129.6300  2.66%  3286  378s
  3662  1582 32416.6914   33  918 33008.0000 32129.6300  2.66%  3348  388s
  3755  1632 32487.1695   40  890 33008.0000 32129.6300  2.66%  3390  399s
  3885  1667 32543.7643   45  844 33008.0000 32129.6300  2.66%  3430  411s
H 3891  1487                    32908.000000 32129.6300  2.37%  3432  411s
  3985  1510 32671.2463   52  805 32908.0000 32129.6300  2.37%  3491  422s
  4074  1544 32723.6442   58  800 32908.0000 32129.6300  2.37%  3547  435s
H 4094  1502                    32883.000000 32129.6300  2.29%  3549  435s
H 4105  1491                    32878.000000 32129.6300  2.28%  3555  435s
H 4162  1480                    32873.000000 32129.6300  2.26%  3578  435s
  4175  1523     cutoff   68      32873.0000 32184.5225  2.09%  3605  447s
  4292  1582 32530.8996   28  867 32873.0000 32184.5225  2.09%  3679  461s
  4397  1630     cutoff   31      32873.0000 32184.5225  2.09%  3722  475s
  4542  1708     cutoff   41      32873.0000 32206.7620  2.03%  3776  488s
  4679  1795 32393.4304   30  836 32873.0000 32219.6525  1.99%  3834  503s
  4805  1897 32706.4258   40  746 32873.0000 32221.9472  1.98%  3883  518s
  4973  1965 32793.7892   37  726 32873.0000 32223.0229  1.98%  3928  532s
  5114  2017     cutoff   36      32873.0000 32223.6510  1.98%  3994  549s
  5295  2083     cutoff   33      32873.0000 32234.8970  1.94%  4037  567s
  5468  2150 32573.2094   22  874 32873.0000 32240.5343  1.92%  4090  585s
  5647  2213 32334.4130   29  877 32873.0000 32243.8818  1.91%  4132  600s

Cutting planes:
  Gomory: 6
  Cover: 77
  Clique: 150
  MIR: 606
  StrongCG: 303
  Flow cover: 176
  GUB cover: 269
  Inf proof: 1
  Zero half: 57
  Mod-K: 1
  RLT: 9
  Relax-and-lift: 3

Explored 5796 nodes (24254157 simplex iterations) in 600.02 seconds (1799.30 work units)
Thread count was 8 (of 8 available processors)

Solution count 10: 32873 32878 32883 ... 33483

Time limit reached
Best objective 3.287300000000e+04, best bound 3.224400000000e+04, gap 1.9134%
